Name,Review,Date
Aleeza Ashary,"Sheraz the delivery driver that delivered my pizza was super nice and quick with the delivery, it said an estimate of 30 to 40 minutes butbit came in 20 minutes|Useful|Share",29-Aug-23
Jennifer Richardson,"Ordered veggie supreme, when I opened our pizza it was cold and had chicken on it . The branch doesn’t answer the phone, so had to pick off the chicken and microwave the pizza|Useful|Share",21-Jul-23
Kathy,Order pizza from Pembrrton. Rang up to check said they just come through on till. Rang again said on their way then again and said being cooked. Went to shop and they ( two guys one with beard and younger lad) said no order here. Wouldn’t give name or get manager’s. Younger lad said your order here but gone now. Asked if they eaten it and said being rude. No food!!!! Never again awful!The manager refused with beard! Awful job and service!|Useful1|Share,17-Jun-23
Mrs Katherine Robertshaw,Visited on Sunday . Tables and seats not cleaned . Toilet facilities very poor. I was over charged and my receipt needed to be amended 3 times. Child’s menu not included in meerkat offer but we were only informed when given the bill!|Useful1|Share,18-Jun-23
Sarah,"Worst place to go. I used to love going to Pizza Hut. Not now. How expensive??Not only are the prices embarrassing but how can they justify them when you basically have to serve yourselves.Order online whilst you’re sat at the table… wt f is all that about??Just cos it started in covid why carry it on. Covid was a crappy time so why do we all want to be carrying on the experience. Besides that anyway, when I went on to order, it didn’t work; despite having done it before so I knew what I was doing! So that was the final straw, I couldn’t justify dealing with the crappy ordering process for the prices I was expected to pay, so we got up and walked out.Yeah staff are there to “help” you to order online… but why? In all that time they could’ve just taken the order themselves.This particular occasion really hacked me off, and I’ve told myself and the kids, that Pizza Hut is completely out the question. And to my surprise they also agreed!And to add to my other dislikes about it, the decor is dark and depressing. The cutlery is stacked in a grubby pot on the table, with god knows how many people’s hands all over it and the atmosphere is like a school cafeteria! Hate, hate, hate it.  Never again|Useful|Share",17-May-23
sheldon f,"Ordered some food to arrive at 11 am.  Did not come until 11:55, 55 minutes late.  Called them and they did not even apologize.  Also, the food is way too expensive and not worth it.  6 half wings for $12.99?  Ridiculous.  I complained to their online process and was told that the store would contact me within 3 days.  No contact.  They just don't care.|Useful|Share",9-Jun-23
Kerryann  Phillips,"Now I hate leaving 1 star reviews but this is justified. We went into pizza hut with our 2 younger children 2 and 7 years old who love pizza hut. We are here regularly. When we arrived the manager explained that they had ran out of stuffed crust for individual pizza and something else. We were still happy to order. Once seated and placed our order online it took the team 20 minutes to inform us the chicken pieces for starters were out of stock they did offer replacements but we weren't keen on the cheese balls or chicken wings. So the manager explained he would refund us for the starters which was fine by us. He apologised and we said its OK not his fault. Once the food arrived we asked a young girl if they had bbq sauce which she said yes just up there which we had to go get ourselves, but thought OK maybe just new. To then have a portion of chicken delivered to our table and manager said well please keep that for the confusion. As I bit into the chicken it looked picked for me then to look over at my daughter who picked up a piece too and hers was raw. We handed the chicken back and safe to say we will never be back at pizza hut.|Useful|Share",6-Aug-23
Peter,Don't accept cash and expect you to have a smartphone to place order I get paid in cash quite a lot and sometimes don't get a chance to get to the bankPlus I don't have a smartphone|Useful|Share,2-Jun-23
Sylvia Wilcher,My experience was great the cook was wonderful the pizza was full and nice much more than I expected thank you Pizza Hut the store on Ross Ave in Dallas TX.|Useful|Share,23-May-23
Maria Lopez,"Great place, they make the best and good pizza, I ordered 3 pizzas, the cheapest this company is the best, if you want to eat well, go to this restaurant. I recommend it 100%|Useful|Share",30-Oct-23
Steven Florey,Card payment only avoid the place at all costs show this company cash is still king burn all of them|Useful|Share,20-Jun-23
Tony Burke,"I have always assumed overall costs to include delivery - & then buy to your budget. Your offers are not as good as they used to seem, & although written differently end up being the same - as if you think you are fooling the customer? All food seems to be getting dearer on the takeaway market, yet businesses are making more profit from the sheer volume. We decided that the typical takeaway meals we had been ordering were too expensive, so thought we'd try pizza for a change - although it's considered more of a heavy snack than a full meal. To be honest, the price was about the same after applying your best deals. And included in the deal was a desert. We chose Chocolate Chip Cookie Dough , with ice cream included. This is meant to be for 2. Fat chance? There was not enough dough, but I couldn't fit the spoon in the ice cream tub. When I rechecked the description - it stated small. It certainly didn't say minute or microscopic. I actually took a photo of it in comparison to a £2 coin. It doesn't give any better indication on your site as to the size. I felt proper mugged off. Who would buy that knowingly. A real disappointment. Is this what Pizza Hut now prides itself on? Not Happy. But after seeing the Trust Pilot ratings, & the fact that they do not appear to respond to issues, Maybe, it's my fault & shouldn't be surprised by the experience. I'm quite happy for Pizza Hut to address this with me.|Useful1|Share",17-May-23
Lily Hayward,This is wonderful platform of pizza.Everyone can purchases here. There system and stuff are so amazing.I loved it|Useful|Share,20-Sep-23
Caroline Maguire,"Ordered a meat feast melt from Palace Grounds, Hamilton yesterday for takeaway. Got home, filling was shocking, the lack of filling was just awfuland totally flat. More filling a must Pizza Hut|Useful|Share",24-May-23
Jessica kilopen,"Very nice pizza, I order 3 pizza, cheaper this company the best, if you want nice eat, goo this restaurant|Useful|Share",10-Aug-23
Petal,Great customer service from Muhammad Bilal. He was very patient and willing to give me a perfect pizza. Thank you ❤️|Useful|Share,18-Oct-23
Mr. Brinker,"Couldnt Place A call In order, because the Manager was Rude asf i Will NEVER order from pizza hut again|Useful|Share",12-Aug-23
Pauly007,"Ordered from pizza hut Croydon. Two hours later, no pizza. Paid £22Phoned, no apology As I write this nearly 3 hours waiting Incompetent|Useful|Share",30-Jul-23
Highlight,Pizza Hut in queensferry north wales are p i ss takers. I spent a lot of money two days before over £30 and the food wasn’t to bad but when I ordered through Uber eats the food turned up cold. I questioned the Uber eats driver and he said it’s hot. How does he know he didn’t put his hand on the food to check it and when I rung Pizza Hut in queensferry the female manager told me it was hot when it left the shop. Yeah it will be but not when the driver is delivering to other customers on his travels. Seriously Pizza Hut you even had the cheek to say it’s Ubers problem. Sorry to inform you and Uber are both equally to blame so to pass the buck which you did do Pizza Hut is disgraceful. It’s a case of you’ve had the money of me I can get lost now. Thanks for nothing Pizza HutWell Here’s a turn up for the books. I rung Pizza Hut to complain again and this time they offered me a free pizza. It sometimes pays to complain|Useful1|Share,16-Jul-23
clive sadler,"overpriced ,cashless waste of money , £36 for two of us ,dick turpin had the decency to wear a mask when he robbed you|Useful|Share",27-Aug-23
Matt Dunn,Been using pizza hut for decades but never again for me their customer relations suck R.I.P pizza hut|Useful1|Share,17-Oct-23
MrwelshRhys,I rang to ask if their refrigerator was running and I think they were in a plane. Either way I don’t think i could hear them. Bad customer service!|Useful1|Share,20-Aug-23
AJ,"We ordered food for a party online, we received confirmation of order being placed and money was withdrawn, we received an email asking how the food was...well we hadn't received the delivery, we tried to contact the hut via phone, no answer then had to email customer service, after weeks of fighting and chasing we finally got our money back, no explanations, no apologies, horrible customer service and the Uxbridge Branch is just disgusting, don't order from there!|Useful1|Share",15-Sep-23
Mark Brooks,"Pizza 🍕 Hut Kings Lynn fantastic customer service great value, the kids is menu great highly recommended 👍|Useful|Share",27-Oct-23
Jade,"Just had a takeaway pizza from Cheshunt store. Pizza was the wrong order, nachos were burnt. Meat on the pizza was so hard could barely chew through it!|Useful|Share",16-May-23
T Simmonds,"went to the crawley pizza hut for our granddaughters 5th birthday, the restaurant was really quiet but to be honest the service was poor as was the food.we order two sharers for the adults and 2 kids meals, the kids meals come with Garlic bread, which we thought would come out with the adult starters, but alas this was not the case so we all shared our starters with the little ones, then the kids meals came they were ok, the two adult meals came one was wrong so sent back, so one pair of adults continued to eat while the second pizza was being redone, all finished and cleared, 2 of the puddings arrived we assumed the other 2 would come but alas these never came as the time was getting on for the little ones we asked the waitress about the puddings and these had been forgotten about, so we asked for them to be removed from the bill which they did.Overall poor service at no time were we asked if all was ok, and the food to be honest was poor quality. if this is the standard then i am unsure why this is open...|Useful1|Share",3-Jun-23
Jackie,"Amazing pizza, you guys are amazing!|Useful|Share",12-Sep-23
customer,"I received the incorrect Pizza and there was a hair on the second pizza. I called the Palmers Green branch. However, they ignored my complain. Very poor service!|Useful|Share",16-Oct-23
Rimons,"I like pizza here, I order it all the time, thank you very much for the delicious pizzas|Useful|Share",31-Oct-23
Rambo lol,Haven’t had it in over 6 years kinda forgot it existed lol it’s alright I give it a 3|Useful|Share,9-Sep-23
Sheila Young,Worst pizza we ever got. Almost brunt. We will seek different place from now one. This was on memorial. Sad. Was best pizza in town. To many other places to ever try u again. Need to cooks I guess|Useful|Share,11-Aug-23
MXx,"I ordered from pizza hut, for my grandkids, the bill came to £38,99 - this was a special treat for my Grandson's birthday, we waited for 45 minutes and on there app it said it was delivered,  but sadly it wasn't delivered to my home - I called up the branch and was told I would have to wait till the driver returned to the shop - I waited another 10 minutes then to my surprise the doorbell went  - it was the pizza 👦  - he told me he got lost  - he went to another home because he put in the wrong postcode,  I called up the branch again explaining that my pizza was now with me - that it's cold and soggy - I received no simply at all - I was told that if I wanted to wait for 40 minutes they would send another pizza order, very bad customer service indeed  - I will think twice before I order a pizza next time.|Useful|Share",8-Aug-23
Sal,Marking their orders as delivered to hit targets but they actually don’t even arrive|Useful|Share,16-Sep-23
Eddie Dennis,Useful|Share,7-Sep-23
Karen Walsh,I would like to know why Pizza Hut doesn’t show the amount of the tip I included for the delivery driver on the receipt? Doesn’t seem right!|Useful|Share,9-Jun-23
Raj,Good service from the pizza hut in Leicester Thurmaston|Useful|Share,17-May-23
J parker,"Miserable staff and no labels near pizza’s,, how are you supposed to know what is what???? That’s just ridiculous! Pizza cold|Useful|Share",18-Jul-23
Miss,Useful|Share,12-Sep-23
TFL,"Childrens Pizza was very small for even 12 year olds, tasted very poor. Ice cream was very chewy rather than soft. Don't reccomend|Useful|Share",16-Jun-23
natalie Calver,"Absolutely awful experience.Went for a birthday meal. Greater by the manager who asked if we had any allergies. I replied yes, tomatoes for my daughter. Was given allergy menu.Ordered food. Said 3 times that there’s a tomato allergy to my daughters plate. No sauce or tomato on her pizza. Plain base. She understood.Waited ages for food. Comes out, gives my daughter her pizza. They’ve seized bbq sauce over her pizza?! BBQ has tomato in! They’ve just given an allergen to a child with an allergy!!! I’ve explained she can’t have it for that reason. She takes it back and says it’ll be another 10/15 mins to re cook!!!My daughter is autistic, she didn’t understand why we’ve all got our food and her not…When food finally came out 15-17 mins later, she didn’t want it, she was put off from earlier and wasn’t hungry by that point:…They also forgot our side order of chips….They came out once we finished our meal!Spoke to the manager, who apologised and said he’s not really sure what to say. He’s told the chef off, my daughters meal is free! She didn’t eat!!He says the chest read the order wrong and got confused!!That’s when I got more annoyed and said , what they’ve done is an allergy breach. You’ve placed a known allergen infront of a child with that allergy, their lucky nothing serious happened, where she ate it…Plus the side order was forgotten!He then offers 2kids meals free, and s pudding…. Hardly makes up for it really.The waitress then never came back to our table. Our food/plates were left in front of us. We had to go and case someone to actually pay.The table next to us wasn’t cleared for vet an hour!!!Very attentive staff!!!Extremely disappointed in the lack understanding of an allergy!And overall service.Oh and my husbands pizza had 3 peppers randomly in his pizza, again had this of been something anyone was allergic to, huge problem! Chef’s really need to be aware of what they are doing and putting in food!!!I won’t even mention the fact I’m disabled and the toilet was wet/slippery with the mop bucket and cones in the way! (The men’s toilet was out of action too, so the men had to use disableds)Completely ruined our birthday meal.Brighton marina  pizza hut|Useful|Share",23-Jul-23
Miss Naomi Slater,Rude put the phone down don't answer phone pile of s..t food f......g disgusting and uber s..KS there d..k|Useful|Share,17-Aug-23
Mary Marchant,Went to Pizza Hut at the Marina in Brighton for the first time in many years.  Lovely food and good service from Liam.  Very happy and friendly.   Well done 👏|Useful|Share,7-Jul-23
Ateeb Ali,Nice pizza it was very delicious but less onions|Useful1|Share,23-Jul-23
Louisa,Cold food from takeaway for the second time. Really disappointed|Useful|Share,15-May-23
Craig Baxter,shame my pizza was burnt around the edges how can this be ???|Useful|Share,15-May-23
Tisla,"I think the pizzas here are very good and very tasty, I order them all the time.|Useful|Share",13-May-23
Jane Bax,"Fast delivery, tasty pizza|Useful1|Share",12-May-23
Darral Slocombe,Food delivered hot and on time good friendly service from Gaurav|Useful|Share,10-May-23
Bridgette Chenier,I am so upset.Lost for wordsJust horrible!!!!!!!!!!|Useful|Share,8-May-23
fraz 14,Useful|Share,6-May-23
Jack Smith,"Ordered a pizza , it was real doughy and the shop didnt want to know. Jokers.....|Useful|Share",6-May-23
Muhammad Zahid,excellent service amazing food super chat system|Useful1|Share,6-May-23
Maria Zeshan,Amazibg pizza.always i like to eat pizza hut.|Useful1|Share,5-May-23
Charlotte Lewis,I like their latest pizza combo meal|Useful|Share,2-May-23
Liam Lynch,"Avoid at all costs, now cashless 🫣🫣|Useful|Share",1-May-23
Roger Harding,Avoid Pizza Hut. They don't take cash|Useful|Share,Updated 1 May 2023
Basar Hasu,"Nice project, i like it.|Useful|Share",30-Apr-23
Alex Perkins,Useful|Share,29-Apr-23
Nicole,It was good and I liked it|Useful|Share,29-Apr-23
Faizul Hassan,Useful|Share,28-Apr-23
Andrew,"No cash, No thanks ❌|Useful|Share",27-Apr-23
Elijah Arlo,Useful|Share,24-Apr-23
Harry Stewart,Excellent service|Useful|Share,24-Apr-23
Wesley Snapples,Useful|Share,24-Apr-23
Andrew Western,Ok to begin. I ordered a pizza on pizza hut web site last night for my son who was assaulted in a club and had to spend most of the day in hospital with a fractured orbital socket. Ordered a chicken sizzler for him and never noticed until I checked how long and my email for this that the order had gone through as a meaty one. I sent it back and asked the delivery driver to tell them it was the wrong order. He told me to phone the shop being North Lane Headingley the guy who answered initially was ignorant I asked him to send what I thought I had originally ordered and he just hung up. 45 mins later I phoned them to find out where this pizza was to be put onto the phone to a guy who called himself Murphy that I had sent the pizza back I explained to him this wasn't the first time that pizza hut website had ordered a completely different pizza he told me to phone customer service. I asked him if I could call round to collect and was told no. This morning I did call customer service to hear a message saying since COVID they no longer have a manned line and to contact the store you ordered from. Pizza hut have £21.48 of mine which I know I am not getting back. Just letting people know maybe use Papa John's or Dominos. As the service and standards from pizza hut are appalling.|Useful|Share,23-Apr-23
Tony,"Amazing service, Zeshan waited for 20 minutes outside my house to deliver my pizza as I was driving to get home. I appreciate, and respect that!.|Useful|Share",22-Apr-23
East Finchley,"Absolutely disgraceful customer service. The online system failed to register my order correctly for a create your own pizza. Because I accepted delivery (of a sealed pizza box, where I couldn’t tell there was an error), no refund/rectification can be made. Had to order elsewhere. Pizza Hut can obviously afford to lose customers!|Useful1|Share",21-Apr-23
Elaine,I just had a gluten free pizza for the first time. I wasn’t sure if I was eating the pizza or the cardboard box it came in. It was very disappointing|Useful|Share,Updated 15 May 2023
Sev,"Ordered pizza, delivery expected within 45 mins according to the app. Phoned up after an hour to be told the average on a weekend is 1.5h! Never again|Useful1|Share",18-Apr-23
Michelle,"No soda machine, no silverware, no salad bar. Had to have the pizza cut twice. That being said, the employees were very polite and helpful. The store itself was awful. Pizza Hut needs to do an inspection in Moab because that store is making them look horrible!|Useful|Share",16-Apr-23
unicorns for life,Ordered then called 20mins after to say cannot deliver as diver unavailable.  Said could collect or refund. Refund chosen. 4 days later still no refund  .Order 6087124681|Useful1|Share,15-Apr-23
Zayn,I would have to say not the best experience! Me and my wife waited over 45mins and the food wasn’t fresh!!! Not happy!|Useful|Share,15-Apr-23
Emily Dean,"Very poor service, food takes a very long time to be served. Staff do not clear tables. Food was Luke warm. Very expensive for what it is|Useful|Share",15-Apr-23
Nehaan Raju,"Terrible service, ZERO star, I ordered 19:07, estimated delivery time was shown between 20 - 20:10, I made the first phone call, the team leader in Battersea Pizza hut said driver is on the way, second phone call 20:10, the same staff picked the phone said, it was too busy and raining, third phone call made 20:50, same staff in the phone said driver in the car on the way, I asked him why did he say that in the first phone call made 20:10 driver on the way, then he said the system said that it was not him, there is no apology nothing and   the staff hung up the phone. I have even received an email 20:37 saying thanks for your order and take part in survey, while I am typing this time is 21:00 and still not received my order. I will never ever order from Pizza hut again|Useful|Share",14-Apr-23
Theresa Lee,"Our family got food poison from eating at the Eaton, Ohio Pizza Hut.I called and asked the manager and our server from the night before said she was the manager,  but she changed her story when I said I just got back from the hospital where I took my son for food poison.|Useful|Share",14-Apr-23
Brandon Michael Oshields,I ordered from the Pizza Hut on Dogwood Drive in Milton Florida not only then take an hour and a half to get my pizza I never got my pizza and when I went to call the manager about it she was very rude to me and never offered me any compensation gave me an ultimatum and hung up on me Pizza Hut or Crooks to pieces of s*** I f****** hate them and I will tell everyone of my family and friends and coworkers to stay away from them stay away from them all they f****** care about is some f*** themselves Pizza Hut can choke on a f****** dick and go to hell I'll rather start the death than ever eat there again f*** you Pizza Hut|Useful|Share,12-Apr-23
Annie,"This place is creative, but is also dirty and the food is not cooked very well. Always expected good from there but oh well. But the ice cream sundae corner is very creative and delicious 😋 so I'll give them that.|Useful|Share",12-Apr-23
Thanh Long Muu,"Pizza Hut Manchester Arndale Food Court For Joe, wonderful customer service and very friendly manners.|Useful|Share",10-Apr-23
Karen Saltmarsh,"Attended pizza hut at rom valley retail park. On arrival was told that we would have to order on line and that the reason for this was that since the pandemic the company had consulted with customers and the customers had requested to keep things as they were during the pandemic. You are breaking the law guys and actively discriminating against large groups of people. Please see below that particular law and change your discriminatory policies before someone takes it to court. The Equality Act says a disability is a physical or mental impairment which has a substantial and long-term adverse effect on your ability to carry out normal day- to-day activities. What are day-to-day activities?Normal day-to-day activities are those carried out by most people on a regular basis.For example:walking or drivingwashing or getting dressedcooking or eatingusing public transporttalking or hearingwriting, typing or readingcarrying or moving thingsbeing able to concentrate or understandbeing able to form social relationships|Useful1|Share",9-Apr-23
Mr Tim West,Looked forward to a a visit to pizza hut.  (Finchley) Was shown to a table and we sat down. Had to call someone over to wipe the table and chairs. Put up with the little flies that kept pestering us and had to leave most our food as experience was ruined by a bit of an unclean vibe. Bit of the pizza we did manage to eat was OK though.  Not returning anytime soon|Useful|Share,9-Apr-23
Steven Dickinson,"Food ordered 2pm for 5.30pm.Got constantly ignored by staff at the hatch whilst the odd walk in customer to be SEATED was immediately dealt with.I had already paid.I had to shout someone who was cleaning after a seated customer was dealt with.I asked why a customer who had already paid was less of a priority than a walk in customer who arrived after me.The food was nice, albeit a black hair on one of the pizzas.I even got questioned if I had paid for them when I collected them after being passed the boxes.Poor customer service by floor staff on duty. Sort yourselves out, you are not cheap, I expect good service.|Useful1|Share",7-Apr-23
Stanley Johnson,"Pizza Hut on Sunset Blvd in Rocky Mount, NC.  Ticket #0126, I ordered a carry out melt after a long day at work. Got home and it was burnt!|Useful|Share",6-Apr-23
Ceris Maguire,"Brilliant service, kids loved it.|Useful|Share",5-Apr-23
Debbie Norris,"Taken to a seat very prompt. Then waited and waited and waited. Three staff standing around with bit a lot to do.!! I walk up to the only guy doing anything. I ask what’s the deal with ordering, he says you do it in line!! So I say well how about telling us this when we arrive. So 49 minutes later we go and collect out cold buffet. What a load of rubbish Pizza Hut has become. No wonder that’s re all closing.|Useful|Share",2-Apr-23
Romila,"I have ordered two large pizzas from mill hill hut for Easter weekend and received my order after 2 and half hours which is absolutely cold, hard to chew for my 5 years twins. They provide a voucher for £25. I have to use another £25 to use this voucher. And voucher can't bee used for easter weekend.I mean seriously? I have done my order last time for Easter meal for my kids.My kids end up to bed with a toast. I am not very rich but tery to arrange a little surprise dinner for Easter for my kids  but these people are portrayed me as bad mother Infront of my children. Highly disappointed.|Useful1|Share",1-Apr-23
Gordon,Awful awful experience. I tried to order online but the first time my card was cancelled. That was weird cause I had enough on it for pizza. I looked and apparently they had taken the money out and put it back in. Odd but okay. Decided to try again cause I thought it was a glitch in the system. Declined again. I was getting mad. Checked my bank account again and the money was gone. Leaving me with one dollar. This time it said it had gone through but I had no confirmation. Called the restaurant in a panic but the person who answered sounded extremely uninterested in what was happening. He didn’t even answer me back for a good minute. Finally got a response that was basically “too bad not my problem” and hung up. At this point I was in a complete panic cause I thought I had lost all the money I was using for this pizza. Checked my account again and the money was back in it. Got wise and moved it all to another account.Thanks Pizza Hut for being the worst customer service I have ever experienced.|Useful|Share,31-Mar-23
Kateryna Parnytska,"Tasty pizza, good locations|Useful|Share",Updated 2 Apr 2023
T. J Smith,We decided to eat at Pizza Hut in the Gate Newcastle.  Extremely poor.  Pizza thin base was really thin.  Lack of toppings on the spicy chicken.  The chilli’s were out of a jar not fresh.  For £16 I was expecting a pizza that resembled a restaurant pizza not a £3 shop bought pizza.  The salad bar was a very poor excuse for a salad bar.  Everything just wasn’t fresh.  It looked like it had been sat there since the day before.  There was a whole dish of sultanas which looked very disappointing and strange.  Never again really not worth the £54 paid.  The young woman serving was extremely helpful and polite.  I feel sorry for her having to work there.  No atmosphere and a lack of customers!  Should have realised.|Useful|Share,30-Mar-23
Janet Jacobson,No pizza available?  Are you kidding me?  Orion Il 4/8/23|Useful|Share,29-Mar-23
Cody Mcclanahan,Service is poor Food is forgotten People always up at counter getting refills Don’t have tables located You gotta ask for your food My melts was burnt|Useful|Share,29-Mar-23
Serena Rathband,I’m here now 3 pizza 1 fries 1 cheesey bites 1 onion rings and a monsters meal @7.99 in total 96£ yep you read that right £96…. Only 11” pizzas mins a deep pan and 2 stuffed crust barely any cheese on them even though we paid the extra £1 per pizza for extra cheesey yeah maybe a strand 😵‍💫 the waitress started clearing our table 25 mins in to the visit WHILST WE WERE STILL EATING cherry on the cake moment…then I hailed her over she nodded and took off all in all a hundred quid down swanny|Useful1|Share,28-Mar-23
Greg Davies,"I was shocked to get to pizza hut for my girls birthday,  having not been for a while.I was first met with, it's card only, when there is no signage mentioning that it is card only. Secondly the salad bar was absolutely useless,  nothing like it used to be.Third and finally the waitress came over and asked if I have ordered on the app.. I said I am here to dine, not pick up a takeaway.  In what world do you go into a restaurant and order your food on a app. I won't be going again.|Useful|Share",27-Mar-23
Tristan Parker,Ordered pizza drink sides & cookie and ice cream so NOT CHEAP and they don’t deliver the ice cream but the shocking thing is the branch says contact customer services and they then just say we’ll that was a free add on … and that’s it. They just think they can deliver what they want!!!|Useful1|Share,26-Mar-23
John,"Ordered a big New Yorker with extra cheese and mushrooms. It had no extra cheese or mushrooms and tasted old. Also order a cheese pizza-yuck and chicken Alfredo with mushrooms with no chicken, no mushrooms and no flavor.I feel I got ripped off by Pizza Hut|Useful|Share",25-Mar-23
Selwyn Miller,"I can not believe that Pizza Hut refuse CASH it us a legal tender. Plus you are asked to pay your bill before you eat, i think they may have a trust issue with their customers. Apparently thus us since COVID so but COVID has gone so lets move on and get back to normallity|Useful1|Share",23-Mar-23
Returning customer,Really nice Pizza BUT found two hairs in mine last Saturday. (Touchwood Solihull Branch)|Useful|Share,19-Mar-23
Megan McCarter,"We ordered from Pizza Hut in Lancing. My order took 1 hr 50 mins to arrive. The sides were wrong and there were no dips that I paid extra for. We tried to call the restaurant over and over again. We finally got through and were told there was one person working and there was nothing they could do. I complained to Pizza Hut, they didn’t refund me any of my order and offered me a £15 voucher as goodwill that can’t be used with any other offers. Who buys Pizza Hut full price?! I’d be spending more to actually use the voucher! I emailed explaining I wanted a refund and I didn’t want the voucher several times and was told that wasn’t going to happen. Terrible service on the day and appalling customer service after. I won’t be using them ever again.|Useful|Share",19-Mar-23
gUTs fEMto,Tried to place an order today. I live in Southgate… they can’t deliver to me. What a joke|Useful|Share,18-Mar-23
James D Fralic,"Garbage, salt, expensive, mess, one of the worst, if not the worst pizza i have ever had!|Useful|Share",18-Mar-23
Helene Popkov-Schonbas,"So today I got a text about the 3 plus 3 deal. For $39.95 delivery. I then ordered my pizza at 4.20pm. For 7pm delivery. Has I check my email to see the confirmation, I then see I have been changed $70.75. I then call to Merrylands Pizza Hut, to ask what’s going on. My order is there but there was only picked 2 sides so therefore I was charged more. I ask to cancel my order so I could reorder, they asked if I had paid, if so then I could NOT cancel. Because they had already made the pizzas at 5.30pm, the lady told me the pizzas were in the fridge and will be up in the oven just before they leave for delivery. Then I’m waiting for my order it only came after 7pm. And my drink was NOT there, the delivery guy gave me $5 cash back… however the drinks are $5.45. So once again I was ripped off… I have now block Pizza Hut Text.. and I hope the shop in Merrylands get close down.|Useful|Share",Updated 17 Mar 2023
Jacqueline Garman,"I ordered from the Meadowbrook location online, paid, and tipped. It took about 20 ish mins for food to be ready and an hour to get to me, I live 7 minutes away. I called 3 times to talk to someone because the first two times I spoke with someone then they hung up on my. The delivery guy was great, called me personally and apologized and brought my late order within minutes. It seemed to be an issue with the workers not doing their job. Terrible service, door arrived 1 hr after it had been cooked. They gave me a $15 credit supposedly for next time so if anyone wants it it’s yours. Never ordering from there again.|Useful|Share",17-Mar-23
David Alexander,Useful|Share,17-Mar-23
DJ,"Pizza from Crain Highway pizza hut in Bowie was partially uncooked, not only were veggies uncooked and sauce was runny, pizza cheese also had that cold tough texture, not hot and fresh...parmesan chicken wings were tough and not that great tasting, wings just tasted like regular wings all if the sauce was ar the bottom of the plastic container... Really wanted some great tasting pizza and wings today but didn't get it|Useful|Share",17-Mar-23
Lou J,Sometimes the pizza isn’t perfect but my kids like it and it’s fast and not that expensive (even with todays high prices for everything) so I stick with them|Useful|Share,15-Mar-23
Patricia Vincent Neal,"I will never ever eat at a pizza 🍕 hut 🛖 again. Walked in they take your order from the counter no waitress for customers at all. We ordered a large super supreme stuffed crust pizza order of garlic bread and 2 pops. We paid cash and paid before they even made the pizza huge mistake. They serve you with paper plates and plastic silverware how disgusting. I could not cut up my pizza I was sawing away on it I even showed one of the person who claimed to work there the only thing the knife was doing is slicing away at my paper plate almost broke the knife trying to cut the damn 🍕 pizza.  This is the pizza 🍕 hut 🛖 in Princeton,  Minnesota I have been sharing it with everyone how they are running there business it's no wonder why there parking lot is never busy. I even shared it with a lady that came in pizza hut sp she knew in advance what the hell she was in for.  I've called the customer service number 800-948-8488 a week ago still no satisfaction from The higher up. I was told I would get a refund just like the pizza hut wanted to give me in store credit are u kidding me I will never eat there again. I will keep hounding them till I get my $40.60 back. People make sure u know what is going on before you order not everyone likes to pick up there pizza and eat it some people like myself like to cut it up in bite size pieces and eat it.|Useful|Share",15-Mar-23
Janelle Fenwick,"Order was not there when I got to location, sent it to the Pizza Hut on the opposite end of town even tho I touched my closest location, then they let me order it to the closer location but gave me the total wrong order & I called to complain & they proceeded to say they couldn’t do anything about it. Pathetic.|Useful|Share",15-Mar-23
Andre,"Trip to Pizza Hut and oh my what a mistake. Book a table… stand at the door for 15 minutes being ignored by the clueless staff before being shown to my table! (Restaurant only 1/3 full)Floors are grimey, food and rubbish all over it. They no longer let you order with a person, only online via QR code. Oh and blue light discount doesn’t apply on any ‘deals’ so unless you’re just ordering a pizza without anything else you’re fine!Get drinks and salad. No bowls so had to wait for them to get us some. Sit down with said salad. Have to ask for knives and forks, because they haven’t set the table. Not delivered. Ask again… Guy huffs and goes and gets them. Don’t even ask about the state of the salad bar area… revolting! Although by this point they’ve already made you pay online!Pizza took nearly 45 minutes to be cooked and they’re so tight with the size and toppings! Plus it sat on the side for 5 minutes going cold! (That’s mine in the photo but they wouldn’t let me take it from there) Gone are the days of PH being a place to eat. My recommendation, get a Domino's Pizza and stay at home! 🍕|Useful|Share",15-Mar-23
Bhavna,Today I wanted to go back and do what I loved looking forward to in my young days. So I went along to pizza hut. After 8 years plus I wanted to taste that yummy potato salad and coleslaw the deep pan pizza and delicious garlic bread. How disappointed was I. The salad had no taste. Bread didn't taste garlicky. And the pizza spicy veg hot one now has extra cheese ....why??? I asked for extra pineapple but couldn't taste much pineapple at all. be generous with the extras I am paying for it. Overall I was disappointed. Why do you change the original brilliant recipe's. Can you please go back to the old original recepis.  Bring the original pizzas and garlic bread that actually taste like garlic bread. And sane with the salad.Thank you|Useful|Share,15-Mar-23
MWATHI/EUNICE WAMBUI,"I order pizza from pizza  regularly, but today I ordered meat lover pizza and it appeared very small like a medium , I called them and they said that was a large pizza  I know for sure it wasn’t . Disappointed customer|Useful|Share",13-Mar-23
rajan padheriya,I ordered meal and I got half baked garlic bread.|Useful|Share,12-Mar-23
